id,name,alias,category,lead,rpm_repo,rpm_pkg,rpm_pg,deb_repo,deb_pkg,deb_pg
2272,jsonb_plperlu,plperlu,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2273,hstore_plperlu,plperlu,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2280,plpgsql,plpgsql,LANG,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2290,plpython3u,plpython3u,LANG,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2291,jsonb_plpython3u,plpython3u,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2292,ltree_plpython3u,plpython3u,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2293,hstore_plpython3u,plpython3u,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2500,prefix,prefix,TYPE,t,PGDG,prefix_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-prefix,"{17,16,15,14,13,12}"
2510,semver,semver,TYPE,t,PGDG,semver_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-semver,"{17,16,15,14,13,12}"
2520,unit,pgunit,TYPE,t,PGDG,postgresql-unit_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-unit,"{17,16,15,14,13,12}"
2530,md5hash,md5hash,TYPE,t,PIGSTY,md5hash_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-md5hash,"{17,16,15,14,13,12}"
2540,asn1oid,asn1oid,TYPE,t,PIGSTY,asn1oid_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-asn1oid,"{17,16,15,14,13,12}"
2550,roaringbitmap,roaringbitmap,TYPE,t,PIGSTY,pg_roaringbitmap_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-roaringbitmap,"{17,16,15,14,13,12}"
2560,pgfaceting,pgfaceting,TYPE,t,PIGSTY,pgfaceting_$v,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pgfaceting,"{17,16,15,14}"
2570,pg_sphere,pgsphere,TYPE,t,PIGSTY,pgsphere_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pgsphere,"{17,16,15,14,13,12}"
2580,country,pg_country,TYPE,t,PIGSTY,pg_country_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-country,"{17,16,15,14,13,12}"
2590,currency,pg_currency,TYPE,t,PIGSTY,pg_currency_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-currency,"{17,16,15,14,13,12}"
2600,pgmp,pgmp,TYPE,t,PGDG,pgmp_$v*,"{17,16,15}",PGDG,postgresql-$v-pgmp,"{17,16,15,14,13,12}"
2610,numeral,numeral,TYPE,t,PIGSTY,numeral_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-numeral,"{17,16,15,14,13,12}"
2620,pg_rational,pg_rational,TYPE,t,PIGSTY,pg_rational_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-rational,"{17,16,15,14,13,12}"
2630,uint,pguint,TYPE,t,PIGSTY,pguint_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pguint,"{17,16,15,14,13,12}"
2640,uint128,pg_uint128,TYPE,t,PIGSTY,pg_uint128_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-uint128,"{17,16,15,14,13,12}"
2650,ip4r,ip4r,TYPE,t,PGDG,ip4r_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-ip4r,"{17,16,15,14,13,12}"
2840,uri,pg_uri,TYPE,t,PIGSTY,pg_uri_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-uri,"{17,16,15,14,13,12}"
2850,pgemailaddr,pgemailaddr,TYPE,t,PIGSTY,pg_emailaddr_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-emailaddr,"{17,16,15,14,13,12}"
2860,acl,acl,TYPE,t,PIGSTY,acl_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-acl,"{17,16,15,14,13,12}"
2870,debversion,debversion,TYPE,t,,,,PGDG,postgresql-$v-debversion,"{17,16,15,14,13,12}"
2880,pg_rrule,pg_rrule,TYPE,t,,,,PGDG,postgresql-$v-pg-rrule,"{17,16,15,14,13,12}"
2890,timestamp9,timestamp9,TYPE,t,PGDG,timestamp9_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-timestamp9,"{17,16,15,14,13,12}"
2920,chkpass,chkpass,TYPE,t,PIGSTY,chkpass_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-chkpass,"{17,16,15,14,13,12}"
2930,isn,isn,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2940,seg,seg,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2950,cube,cube,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2960,ltree,ltree,TYPE,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
